Subzone,Planning Area,Population
Admiralty,Sembawang,13480
Airport Road,Paya Lebar,-
Alexandra Hill,Bukit Merah,13150
Alexandra North,Bukit Merah,2780
Aljunied,Geylang,39620
Anak Bukit,Bukit Timah,21220
Anchorvale,Sengkang,50050
Ang Mo Kio Town Centre,Ang Mo Kio,4760
Anson,Downtown Core,80
Bahar,Western Water Catchment,-
Balestier,Novena,32020
Bangkit,Bukit Panjang,21680
Bayfront Subzone,Downtown Core,-
Bayshore,Bedok,7340
Bedok North,Bedok,81010
Bedok Reservoir,Bedok,24940
Bedok South,Bedok,45860
Bencoolen,Rochor,1240
Bendemeer,Kallang,36950
Benoi Sector,Pioneer,-
Bidadari,Toa Payoh,-
Bishan East,Bishan,27300
Boat Quay,Singapore River,130
Boon Keng,Kallang,11310
Boon Lay Place,Jurong West,28350
Boon Teck,Toa Payoh,14890
Boulevard,Orchard,340
Braddell,Toa Payoh,9610
Bras Basah,Museum,10
Brickland,Tengah,-
Brickworks,Bukit Batok,25180
Bugis,Downtown Core,880
Bukit Batok Central,Bukit Batok,26900
Bukit Batok East,Bukit Batok,12300
Bukit Batok South,Bukit Batok,14580
Bukit Batok West,Bukit Batok,14550
Bukit Ho Swee,Bukit Merah,14000
Bukit Merah,Bukit Merah,1060
Cairnhill,Newton,3800
Cecil,Downtown Core,320
Central Subzone,Downtown Core,980
Central Water Catchment,Central Water Catchment,-
Changi Airport,Changi,-
Changi Bay,Changi Bay,-
Changi Point,Changi,560
Changi West,Changi,1330
Chatsworth,Tanglin,6830
Cheng San,Ang Mo Kio,27260
Chin Bee,Jurong West,-
China Square,Outram,1340
Chinatown,Outram,10090
Choa Chu Kang Central,Choa Chu Kang,22200
Choa Chu Kang North,Choa Chu Kang,31260
Chong Boon,Ang Mo Kio,25800
City Hall,Downtown Core,90
City Terminals,Bukit Merah,20
Clarke Quay,Singapore River,100
Cleantech,Western Water Catchment,-
Clementi Central,Clementi,14390
Clementi North,Clementi,27870
Clementi West,Clementi,14770
Clementi Woods,Clementi,15770
Clifford Pier,Downtown Core,-
Commonwealth,Queenstown,6660
Compassvale,Sengkang,20750
Coney Island,Punggol,-
Coronation Road,Bukit Timah,6400
Crawford,Kallang,8050
Dairy Farm,Bukit Panjang,6810
Defu Industrial Park,Hougang,10
Depot Road,Bukit Merah,6400
Dhoby Ghaut,Museum,350
Dover,Queenstown,10690
Dunearn,Novena,3790
East Coast,Marine Parade,-
Everton Park,Bukit Merah,7520
Faber,Clementi,5320
Fajar,Bukit Panjang,27020
Farrer Court,Bukit Timah,6140
Farrer Park,Rochor,2500
Fernvale,Sengkang,58390
Flora Drive,Pasir Ris,14840
Forest Hill,Tengah,10
Fort Canning,Museum,170
Frankel,Bedok,33590
Gali Batu,Sungei Kadut,20
Garden,Tengah,-
Geylang Bahru,Kallang,10750
Geylang East,Geylang,29350
Ghim Moh,Queenstown,13370
Gombak,Bukit Batok,9770
Goodwood Park,Newton,1250
Greenwood Park,Woodlands,80
Guilin,Bukit Batok,12450
Gul Basin,Pioneer,-
Gul Circle,Pioneer,20
Henderson Hill,Bukit Merah,12970
Hillcrest,Bukit Timah,9220
Hillview,Bukit Batok,18870
Holland Drive,Queenstown,12080
Holland Road,Bukit Timah,10750
Hong Kah,Jurong West,52420
Hong Kah North,Bukit Batok,25550
Hougang Central,Hougang,4590
Hougang East,Hougang,24270
Hougang West,Hougang,44900
Institution Hill,River Valley,3130
International Business Park,Jurong East,-
Istana Negara,Newton,50
Jelebu,Bukit Panjang,30480
Joo Koon,Pioneer,20
Joo Seng,Toa Payoh,7990
Jurong Gateway,Jurong East,500
Jurong Island And Bukom,Western Islands,-
Jurong Port,Jurong East,-
Jurong River,Jurong East,-
Jurong West Central,Jurong West,61720
Kaki Bukit,Bedok,36240
Kallang Bahru,Kallang,10
Kallang Way,Geylang,30
Kampong Bugis,Kallang,930
Kampong Glam,Rochor,110
Kampong Java,Kallang,10050
Kampong Tiong Bahru,Bukit Merah,8700
Kampong Ubi,Geylang,11290
Kangkar,Hougang,32260
Katong,Marine Parade,9090
Keat Hong,Choa Chu Kang,38240
Kebun Bahru,Ang Mo Kio,21950
Kembangan,Bedok,36350
Kent Ridge,Queenstown,60
Khatib,Yishun,9950
Kian Teck,Jurong West,30
Kim Keat,Toa Payoh,7610
Kovan,Hougang,24370
Kranji,Sungei Kadut,10
Lakeside (Business),Jurong East,-
Lakeside (Leisure),Jurong East,970
Lavender,Kallang,9460
Leedon Park,Bukit Timah,6270
Leonie Hill,River Valley,3180
Lim Chu Kang,Lim Chu Kang,100
Little India,Rochor,3120
Liu Fang,Boon Lay,-
Lorong 8 Toa Payoh,Toa Payoh,6900
Lorong Ah Soo,Hougang,31720
Lorong Chuan,Serangoon,8410
Lorong Halus,Hougang,-
Lorong Halus North,Sengkang,-
Lower Seletar,Yishun,18900
Loyang East,Pasir Ris,2080
Loyang West,Pasir Ris,220
Mackenzie,Rochor,140
Macpherson,Geylang,27310
Malcolm,Novena,2910
Mandai East,Mandai,-
Mandai Estate,Mandai,2070
Mandai West,Mandai,-
Margaret Drive,Queenstown,17390
Marina Centre,Downtown Core,10
Marina East,Marina East,-
Marina East (Mp),Marine Parade,-
Marina South,Marina South,-
Marine Parade,Marine Parade,26050
Maritime Square,Bukit Merah,3840
Marymount,Bishan,28800
Matilda,Punggol,51960
Maxwell,Downtown Core,-
Mei Chin,Queenstown,15010
Midview,Woodlands,34360
Monk's Hill,Newton,1060
Moulmein,Novena,9380
Mount Emily,Rochor,1690
Mount Pleasant,Novena,700
Mountbatten,Marine Parade,9540
Murai,Western Water Catchment,610
Nassim,Tanglin,9350
National University Of S'pore,Queenstown,220
Nature Reserve,Bukit Panjang,3790
Nee Soon,Yishun,850
Newton Circus,Newton,240
Nicoll,Downtown Core,290
North Coast,Woodlands,11460
North-Eastern Islands,North-Eastern Islands,40
Northland,Yishun,27410
Northshore,Punggol,4160
One North,Queenstown,750
One Tree Hill,River Valley,2000
Orange Grove,Newton,1700
Oxley,River Valley,1490
Pandan,Clementi,10
Pang Sua,Sungei Kadut,10
Park,Tengah,-
Pasir Panjang 1,Queenstown,4530
Pasir Panjang 2,Queenstown,2910
Pasir Ris Central,Pasir Ris,31860
Pasir Ris Drive,Pasir Ris,52920
Pasir Ris Park,Pasir Ris,7710
Pasir Ris Wafer Fab Park,Pasir Ris,10
Pasir Ris West,Pasir Ris,34970
Paterson,River Valley,240
Paya Lebar East,Paya Lebar,-
Paya Lebar North,Paya Lebar,20
Paya Lebar West,Paya Lebar,-
Pearl's Hill,Outram,5770
Pei Chun,Toa Payoh,10050
Peng Siang,Choa Chu Kang,34030
Penjuru Crescent,Jurong East,10
People's Park,Outram,270
Phillip,Downtown Core,-
Pioneer Sector,Pioneer,10
Plab,Paya Lebar,-
Plantation,Tengah,-
Port,Queenstown,110
Potong Pasir,Toa Payoh,11650
Pulau Punggol Barat,Seletar,-
Pulau Punggol Timor,Seletar,-
Pulau Seletar,Simpang,-
Punggol Canal,Punggol,-
Punggol Field,Punggol,48010
Punggol Town Centre,Punggol,22310
Queensway,Queenstown,260
Raffles Place,Downtown Core,20
Redhill,Bukit Merah,10800
Reservoir View,Sungei Kadut,10
Ridout,Tanglin,1460
Rivervale,Sengkang,58540
Robertson Quay,Singapore River,3170
Rochor Canal,Rochor,-
Safti,Jurong West,-
Samulun,Boon Lay,10
Saujana,Bukit Panjang,25300
Selegie,Rochor,210
Seletar,Seletar,290
Seletar Aerospace Park,Seletar,20
Seletar Hills,Serangoon,14730
Semakau,Western Islands,-
Sembawang Central,Sembawang,34630
Sembawang East,Sembawang,19940
Sembawang Hills,Ang Mo Kio,6640
Sembawang North,Sembawang,25160
Sembawang Springs,Sembawang,9330
Sembawang Straits,Sembawang,2170
Sengkang Town Centre,Sengkang,60900
Sengkang West,Sengkang,-
Senja,Bukit Panjang,19640
Sennett,Toa Payoh,10220
Senoko North,Sembawang,10
Senoko South,Sembawang,20
Senoko West,Woodlands,10
Sentosa,Southern Islands,1980
Serangoon Central,Serangoon,24050
Serangoon Garden,Serangoon,34910
Serangoon North,Serangoon,15490
Serangoon North Ind Estate,Serangoon,-
Shangri-La,Ang Mo Kio,16800
Shipyard,Boon Lay,-
Siglap,Bedok,6480
Simei,Tampines,38330
Simpang North,Simpang,-
Simpang South,Simpang,-
Singapore General Hospital,Bukit Merah,10
Singapore Polytechnic,Queenstown,80
Somerset,Orchard,130
Southern Group,Southern Islands,-
Springleaf,Yishun,4350
Straits View,Straits View,-
Sudong,Western Islands,-
Sungei Road,Rochor,2020
Sunset Way,Clementi,5360
Swiss Club,Bukit Timah,5160
Tagore,Ang Mo Kio,7740
Tai Seng,Hougang,13450
Taman Jurong,Jurong West,38990
Tampines East,Tampines,127510
Tampines North,Tampines,10720
Tampines West,Tampines,79810
Tanglin,Orchard,380
Tanglin Halt,Queenstown,9500
Tanjong Irau,Simpang,-
Tanjong Pagar,Downtown Core,670
Tanjong Rhu,Kallang,10790
Teban Gardens,Jurong East,17790
Teck Whye,Choa Chu Kang,23940
Telok Blangah Drive,Bukit Merah,19040
Telok Blangah Rise,Bukit Merah,11810
Telok Blangah Way,Bukit Merah,8820
Tengah Industrial Estate,Tengah,-
Tengeh,Tuas,-
The Wharves,Sembawang,-
Tiong Bahru,Bukit Merah,12430
Tiong Bahru Station,Bukit Merah,14780
Toa Payoh Central,Toa Payoh,27200
Toa Payoh West,Toa Payoh,13950
Toh Guan,Jurong East,14090
Toh Tuck,Clementi,10
Townsville,Ang Mo Kio,20370
Trafalgar,Hougang,49220
Tuas Bay,Tuas,10
Tuas North,Tuas,10
Tuas Promenade,Tuas,10
Tuas View,Tuas,10
Tuas View Extension,Tuas,10
Tukang,Boon Lay,-
Turf Club,Sungei Kadut,670
Tyersall,Tanglin,3770
Ulu Pandan,Bukit Timah,10700
Upper Paya Lebar,Serangoon,17520
Upper Thomson,Bishan,28520
Victoria,Rochor,1650
Waterway East,Punggol,49740
Wenya,Jurong West,8040
West Coast,Clementi,7470
Woodgrove,Woodlands,32700
Woodlands East,Woodlands,96700
Woodlands Regional Centre,Woodlands,-
Woodlands South,Woodlands,40140
Woodlands West,Woodlands,33480
Woodleigh,Toa Payoh,2480
Xilin,Tampines,1720
Yew Tee,Choa Chu Kang,39400
Yio Chu Kang,Ang Mo Kio,10
Yio Chu Kang East,Ang Mo Kio,4180
Yio Chu Kang North,Ang Mo Kio,-
Yio Chu Kang West,Ang Mo Kio,23660
Yishun Central,Yishun,2780
Yishun East,Yishun,60900
Yishun South,Yishun,41580
Yishun West,Yishun,52470
Yuhua East,Jurong East,23960
Yuhua West,Jurong East,18570
Yunnan,Jurong West,65570
